inicio,fin,dur_min,nivel,vel_max_mm_hr,t_vel_max,disp_delta_mm
2025-08-20 10:20:00,2025-08-20 10:24:00,4.0,ALERTA,1.1799433333333242,2025-08-20 10:20:00,0.07290411111111172
2025-08-20 10:32:00,2025-08-20 10:38:00,6.0,ALERTA,1.0824533333333264,2025-08-20 10:38:00,-0.09543344444444424
2025-08-20 10:40:00,2025-08-20 10:46:00,6.0,ALARMA,1.336049999999993,2025-08-20 10:40:00,-0.13781222222222222
2025-08-20 10:48:00,2025-08-20 10:52:00,4.0,ALERTA,0.9198566666666563,2025-08-20 10:48:00,-0.05611577777777832
2025-08-20 12:02:00,2025-08-20 12:10:00,8.0,ALERTA,0.8850599999999975,2025-08-20 12:02:00,-0.11938766666666689
2025-08-20 12:20:00,2025-08-20 12:20:00,0.0,ALERTA,1.0817633333333232,2025-08-20 12:20:00,0.0
2025-08-20 12:22:00,2025-08-20 12:36:00,14.0,ALARMA,1.8333933333333219,2025-08-20 12:28:00,0.41353422222222225
2025-08-20 12:38:00,2025-08-20 12:38:00,0.0,ALERTA,0.7886533333333334,2025-08-20 12:38:00,0.0
2025-08-20 20:42:00,2025-08-20 20:52:00,10.0,ALERTA,0.8999299999999977,2025-08-20 20:44:00,-0.14429766666666666
2025-08-21 02:30:00,2025-08-21 02:46:00,16.0,ALERTA,0.987573333333307,2025-08-21 02:38:00,-0.24060477777777756
2025-08-21 07:08:00,2025-08-21 07:22:00,14.0,ALERTA,0.9818999999999978,2025-08-21 07:14:00,-0.2167035555555552
2025-08-21 07:38:00,2025-08-21 07:54:00,16.0,ALERTA,1.22809333333334,2025-08-21 07:48:00,0.30896411111111055
2025-08-21 08:20:00,2025-08-21 08:28:00,8.0,ALERTA,0.7501566666666637,2025-08-21 08:20:00,0.09972155555555506
2025-08-21 18:54:00,2025-08-21 19:02:00,8.0,ALERTA,0.7112300000000005,2025-08-21 18:54:00,-0.09443011111111099
2025-08-22 01:58:00,2025-08-22 02:06:00,8.0,ALERTA,0.9161633333333308,2025-08-22 02:02:00,-0.12955466666666693
2025-08-22 04:18:00,2025-08-22 04:18:00,0.0,ALERTA,0.9255500000000083,2025-08-22 04:18:00,0.0
2025-08-22 04:20:00,2025-08-22 04:30:00,10.0,ALARMA,1.4838833333333357,2025-08-22 04:22:00,0.2393361111111112
2025-08-22 04:32:00,2025-08-22 04:36:00,4.0,ALERTA,1.2820266666666669,2025-08-22 04:32:00,0.06535655555555575
2025-08-22 04:54:00,2025-08-22 05:10:00,16.0,ALERTA,1.2415866666666764,2025-08-22 05:10:00,-0.26369088888888914
2025-08-22 05:12:00,2025-08-22 05:28:00,16.0,ALARMA,2.085480000000004,2025-08-22 05:18:00,-0.5236931111111107
2025-08-22 08:32:00,2025-08-22 08:46:00,14.0,ALERTA,0.8814899999999914,2025-08-22 08:36:00,-0.2046547777777774
2025-08-22 10:20:00,2025-08-22 10:30:00,10.0,ALERTA,0.7476966666666929,2025-08-22 10:26:00,-0.1233535555555565
2025-08-22 13:46:00,2025-08-22 13:58:00,12.0,ALERTA,0.890826666666662,2025-08-22 13:50:00,-0.17523733333333347
2025-08-22 14:32:00,2025-08-22 14:44:00,12.0,ALERTA,0.884783333333381,2025-08-22 14:36:00,0.17164300000000043
2025-08-22 14:58:00,2025-08-22 15:04:00,6.0,ALERTA,0.7855800000000013,2025-08-22 15:00:00,-0.08873166666666688
2025-08-22 15:52:00,2025-08-22 15:54:00,2.0,ALERTA,1.1566633333333343,2025-08-22 15:54:00,-0.038555444444444475
2025-08-22 15:56:00,2025-08-22 16:10:00,14.0,ALARMA,1.9770100000000301,2025-08-22 16:02:00,-0.43609655555555626
2025-08-22 16:12:00,2025-08-22 16:40:00,28.0,ALERTA,1.20572666666666,2025-08-22 16:12:00,-0.43506644444444476
